ET0;mm/day
18/05/2020 00:00;4.14
19/05/2020 00:00;3.99
20/05/2020 00:00;3.92
21/05/2020 00:00;4.25
22/05/2020 00:00;4.42
23/05/2020 00:00;4.62
24/05/2020 00:00;4.8
25/05/2020 00:00;5.16
26/05/2020 00:00;4.58
27/05/2020 00:00;4.85
28/05/2020 00:00;4.8
29/05/2020 00:00;4.13
30/05/2020 00:00;3.99
31/05/2020 00:00;3.73
01/06/2020 00:00;4.31
02/06/2020 00:00;5.2
03/06/2020 00:00;4.43
04/06/2020 00:00;4.89
05/06/2020 00:00;5.38
06/06/2020 00:00;5.3
07/06/2020 00:00;5.02
08/06/2020 00:00;5.14
09/06/2020 00:00;4.46
10/06/2020 00:00;4.65
11/06/2020 00:00;4.97
12/06/2020 00:00;4.31
13/06/2020 00:00;4.01
14/06/2020 00:00;5.16
15/06/2020 00:00;4.85
16/06/2020 00:00;4.14
17/06/2020 00:00;4.19
18/06/2020 00:00;4.73
19/06/2020 00:00;4.38
20/06/2020 00:00;4.11
21/06/2020 00:00;4.53
22/06/2020 00:00;4.73
23/06/2020 00:00;5.52
24/06/2020 00:00;4.91
25/06/2020 00:00;4.79
26/06/2020 00:00;5.81
27/06/2020 00:00;5.36
28/06/2020 00:00;5.48
29/06/2020 00:00;5
30/06/2020 00:00;5.71
01/07/2020 00:00;5.42
02/07/2020 00:00;6.19
03/07/2020 00:00;5.72
04/07/2020 00:00;6.02
05/07/2020 00:00;5.4
06/07/2020 00:00;5.45
07/07/2020 00:00;6.21
08/07/2020 00:00;5.2
09/07/2020 00:00;5.25
10/07/2020 00:00;5.13
11/07/2020 00:00;5.02
12/07/2020 00:00;4.15
13/07/2020 00:00;4.21
14/07/2020 00:00;4.47
15/07/2020 00:00;4.8
16/07/2020 00:00;5.39
17/07/2020 00:00;5.7
18/07/2020 00:00;6.35
19/07/2020 00:00;5.44
20/07/2020 00:00;4.92
21/07/2020 00:00;4.98
22/07/2020 00:00;5.63
23/07/2020 00:00;5.37
24/07/2020 00:00;5.71
25/07/2020 00:00;5.46
26/07/2020 00:00;5.14
27/07/2020 00:00;4.39
28/07/2020 00:00;3.86
29/07/2020 00:00;4.54
30/07/2020 00:00;4.42
31/07/2020 00:00;4.86
01/08/2020 00:00;5.48
02/08/2020 00:00;5.07
03/08/2020 00:00;5.03
04/08/2020 00:00;5.02
05/08/2020 00:00;5.28
06/08/2020 00:00;4.7
07/08/2020 00:00;5.11
08/08/2020 00:00;3.6
09/08/2020 00:00;4
10/08/2020 00:00;4.14
11/08/2020 00:00;4.36
12/08/2020 00:00;4.32
13/08/2020 00:00;4.27
14/08/2020 00:00;4.12
15/08/2020 00:00;3.51
16/08/2020 00:00;4.68
17/08/2020 00:00;3.75
18/08/2020 00:00;3.81
19/08/2020 00:00;4.32
20/08/2020 00:00;4.37
21/08/2020 00:00;4.66
22/08/2020 00:00;4.68
23/08/2020 00:00;4.92
24/08/2020 00:00;4.34
25/08/2020 00:00;4.16
26/08/2020 00:00;3.73
27/08/2020 00:00;4.14
28/08/2020 00:00;4.16
29/08/2020 00:00;3.85
30/08/2020 00:00;3.88
31/08/2020 00:00;4.09
01/09/2020 00:00;3.96
02/09/2020 00:00;4.24
03/09/2020 00:00;3.94
04/09/2020 00:00;3.62
05/09/2020 00:00;3.81
06/09/2020 00:00;3.22
07/09/2020 00:00;3.23
08/09/2020 00:00;3.26
09/09/2020 00:00;3.57
10/09/2020 00:00;3.72
11/09/2020 00:00;3.04
12/09/2020 00:00;3.06
13/09/2020 00:00;2.93
14/09/2020 00:00;3.07
15/09/2020 00:00;3.41
16/09/2020 00:00;2.96
17/09/2020 00:00;2.89
18/09/2020 00:00;2.68
19/09/2020 00:00;2.94
20/09/2020 00:00;3.23
21/09/2020 00:00;3.18
22/09/2020 00:00;2.67
23/09/2020 00:00;2.59
24/09/2020 00:00;2.69
25/09/2020 00:00;2.77
26/09/2020 00:00;2.45
27/09/2020 00:00;3.03
28/09/2020 00:00;2.59
29/09/2020 00:00;2.7
30/09/2020 00:00;2.74
01/10/2020 00:00;2.73
02/10/2020 00:00;2.35
03/10/2020 00:00;2.7
04/10/2020 00:00;2.26
05/10/2020 00:00;1.91
06/10/2020 00:00;1.72
07/10/2020 00:00;1.75
08/10/2020 00:00;1.74
09/10/2020 00:00;1.83
10/10/2020 00:00;2.1
11/10/2020 00:00;2
12/10/2020 00:00;1.84
13/10/2020 00:00;1.89
14/10/2020 00:00;1.87
15/10/2020 00:00;1.8
16/10/2020 00:00;1.75
17/10/2020 00:00;1.39
18/10/2020 00:00;1.72
19/10/2020 00:00;1.56
20/10/2020 00:00;1.21
21/10/2020 00:00;1.6
22/10/2020 00:00;1.45
23/10/2020 00:00;1.45
24/10/2020 00:00;1.31
25/10/2020 00:00;1.1
26/10/2020 00:00;1.38
27/10/2020 00:00;1.41
28/10/2020 00:00;1.31
29/10/2020 00:00;1.19
30/10/2020 00:00;1.09
31/10/2020 00:00;1.37
01/11/2020 00:00;1.11
02/11/2020 00:00;1.16
03/11/2020 00:00;1.03
04/11/2020 00:00;1.02
05/11/2020 00:00;0.89
06/11/2020 00:00;0.93
07/11/2020 00:00;0.72
08/11/2020 00:00;0.89
09/11/2020 00:00;0.9
10/11/2020 00:00;0.79
11/11/2020 00:00;0.72
12/11/2020 00:00;0.69
13/11/2020 00:00;0.77
14/11/2020 00:00;0.68
15/11/2020 00:00;0.6
16/11/2020 00:00;0.67
17/11/2020 00:00;0.64
18/11/2020 00:00;0.66
19/11/2020 00:00;0.61
20/11/2020 00:00;0.67
21/11/2020 00:00;0.54
22/11/2020 00:00;0.72
23/11/2020 00:00;0.54
24/11/2020 00:00;0.49
25/11/2020 00:00;0.57
26/11/2020 00:00;0.42
27/11/2020 00:00;0.45
28/11/2020 00:00;0.54
29/11/2020 00:00;0.52
30/11/2020 00:00;0.5
01/12/2020 00:00;0.37
02/12/2020 00:00;0.47
03/12/2020 00:00;0.44
04/12/2020 00:00;0.47
05/12/2020 00:00;0.4
06/12/2020 00:00;0.44
07/12/2020 00:00;0.44
08/12/2020 00:00;0.48
09/12/2020 00:00;0.51
10/12/2020 00:00;0.48
11/12/2020 00:00;0.34
12/12/2020 00:00;0.42
13/12/2020 00:00;0.42
14/12/2020 00:00;0.42
15/12/2020 00:00;0.5
16/12/2020 00:00;0.35
17/12/2020 00:00;0.38
18/12/2020 00:00;0.37
19/12/2020 00:00;0.44
20/12/2020 00:00;0.45
21/12/2020 00:00;0.44
22/12/2020 00:00;0.4
23/12/2020 00:00;0.41
24/12/2020 00:00;0.57
25/12/2020 00:00;0.41
26/12/2020 00:00;0.45
27/12/2020 00:00;0.39
28/12/2020 00:00;0.42
29/12/2020 00:00;0.39
30/12/2020 00:00;0.53
31/12/2020 00:00;0.52
